sinistro	data_sinistro	sinistro_mes	sinistro_dia_semana	horario_sinistro	cidade_sinistro	uf_sinistro	mercadoria_grupo	origem_cidade	origem_uf	destino_cidade	destino_uf	valor_carga	motorista_vinculo
Roubo/Furto	18/02/2018	fevereiro	quinta-feira	Noite	São Sebastião	AL	Hig/Limp/Cosm	Ipojuca	PE	Nossa Senhora do Socorro	SE	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	19/02/2018	fevereiro	quinta-feira	Madrugada	Atibaia	SP	Polímeros	Três Rios	RJ	Mauá	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	19/02/2018	fevereiro	quinta-feira	Tarde	Jacareí	SP	Tratores/Empilhadeiras	São José dos Campos	SP	Araucária	PR	3 - Até R$ 500.000	Autônomo
Roubo/Furto	20/02/2018	fevereiro	quinta-feira	Manhã	Rio de Janeiro	RJ	Celulares	Galeão	RJ	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	20/02/2018	fevereiro	quinta-feira	Sem Inf	Aparecida de Goiânia	GO	Hig/Limp/Cosm	Louveira	SP	Aparecida de Goiânia	GO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	20/02/2018	fevereiro	quinta-feira	Tarde	São Paulo	SP	Fios/Cabos	Itajaí	SC	Três Lagos	MS	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	21/02/2018	fevereiro	quinta-feira	Noite	Oliveira	MG	Café	Nova Venécia	ES	Jundiaí	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	21/02/2018	fevereiro	quinta-feira	Manhã	Campinas	SP	Confecção/Tecido/Fios	Santos	SP	Mogi Mirim	SP	5 - Acima de R$ 1.000.000	Funcionário
Roubo/Furto	21/02/2018	fevereiro	quinta-feira	Madrugada	Jacareí	SP	Aço/Ferro	Volta Redonda	RJ	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	23/02/2018	fevereiro	quinta-feira	Madrugada	Antonina	PR	Frigorífico	Assunção	EX	Antuérpia	EX	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	23/02/2018	fevereiro	quinta-feira	Noite	Mairipora	SP	Autopeças	Campo Limpo Paulista	SP	Betim	MG	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	24/02/2018	fevereiro	quinta-feira	Tarde	Santo Antonio de Posse	SP	Laticínios	Bragança Paulista	SP	Domingos do Maranhão	MA	3 - Até R$ 500.000	Autônomo
Roubo/Furto	27/02/2018	fevereiro	sexta-feira	Noite	São Paulo	SP	Específicas	São Paulo	SP	Belo Horizonte	MG	2 - Até R$ 300.000	Agregado
Roubo/Furto	28/02/2018	fevereiro	sexta-feira	Tarde	São Paulo	SP	Geral	São Paulo	SP	Nova Odessa	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	28/02/2018	fevereiro	sexta-feira	Tarde	Marabá	PA	Alimentício	Lucena	PB	Marabá	PA	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	01/03/2018	março	segunda-feira	Manhã	Embú das Artes	SP	Alumínio	Viamão	RS	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	Agregado
Roubo/Furto	01/03/2018	março	segunda-feira	Tarde	Quata	SP	Aço/Ferro	São Francisco do Sul	SC	Cuiabá	MT	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	01/03/2018	março	segunda-feira	Noite	Pedra Azul	MG	Combustível	São Francisco do Conde	BA	Montes Claros	MG	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	02/03/2018	março	segunda-feira	Madrugada	Lajes	RN	Hig/Limp/Cosm	Ipojuca	PE	Caucaia	CE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	02/03/2018	março	segunda-feira	Madrugada	São José dos Pinhais	PR	Pescado	Laguna	SC	Diversos	CE	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	02/03/2018	março	segunda-feira	Madrugada	Arujá	SP	Combustível	Lapa	PR	Vitória	ES	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	03/03/2018	março	segunda-feira	Noite	Lauro de Freitas	BA	Veículo	Lauro de Freitas	BA	Porto Velho	RO	1 - De R$ 100.000 a R$ 200.000	Autônomo
Outros	03/03/2018	março	segunda-feira	Tarde	Ulianópolis	PA	Alumínio	Pindamonhangaba	SP	Manaus	AM	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	06/03/2018	março	terça-feira	Noite	São Gonçalo	RJ	Alimentício	São Gonçalo	RJ	Rio de Janeiro	RJ	2 - Até R$ 300.000	Agregado
Outros	06/03/2018	março	terça-feira	Sem Inf	Simões Filho	BA	Específicas	Simão Filho	BA	Alemanha	EX	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	07/03/2018	março	terça-feira	Madrugada	Atibaia	SP	Minério	NiqueLandia	GO	Charqueadas	RS	4 - Até R$ 1.000.000	Autônomo
Roubo/Furto	07/03/2018	março	terça-feira	Sem Inf	Demerval Lobão	PI	Alimentício	Salvador	BA	Teresina	PI	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	07/03/2018	março	terça-feira	Manhã	Cosmópolis	SP	Combustível	Paulínia	SP	Senador Canedo	GO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	08/03/2018	março	terça-feira	Noite	Itatiba	SP	Polímeros	Paulínia	SP	Camaçari	BA	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	08/03/2018	março	terça-feira	Madrugada	Barueri	SP	Medicamento	Itajaí	SC	Itapevi	SP	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	08/03/2018	março	terça-feira	Madrugada	Limeira	SP	Combustível	Paulínia	SP	Presidente Prudente	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	09/03/2018	março	terça-feira	Tarde	Valença	BA	Café	Eunápolis	BA	Eusébio	CE	2 - Até R$ 300.000	Agregado
Roubo/Furto	09/03/2018	março	terça-feira	Tarde	Sapucaia	ES	Café	Sapucaia	ES	Araçariguama	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	10/03/2018	março	terça-feira	Madrugada	Jaboatão dos Guararapes	PE	Alimentício	Eusébio	CE	Arapiraca	AL	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	10/03/2018	março	terça-feira	Manhã	Engenheiro Navarro	MG	Específicas	Guarulhos	SP	Vitória da Conquista	BA	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	12/03/2018	março	quarta-feira	Madrugada	Canoas	RS	Eletrônicos	Porto Alegre	RS	Caxias do Sul	RS	3 - Até R$ 500.000	Autônomo
Roubo/Furto	14/03/2018	março	quarta-feira	Tarde	Canápolis	MG	Frigorífico	Goianira	GO	Joinville	SC	2 - Até R$ 300.000	Funcionário
Roubo/Furto	14/03/2018	março	quarta-feira	Tarde	Guaratingueta	SP	Alumínio	Anápolis	GO	Itaquaquecetuba	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	15/03/2018	março	quarta-feira	Madrugada	Itaguara	MG	Aço/Ferro	Ouro Branco	MG	Santa Luiza	MG	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	15/03/2018	março	quarta-feira	Madrugada	São Sebastião da Bela Vista	MG	Eletrônicos	Guarulhos	SP	Belo Horizonte	MG	3 - Até R$ 500.000	Agregado
Roubo/Furto	16/03/2018	março	quarta-feira	Noite	Monte Alegre de Minas	MG	Laticínios	Guarulhos	SP	São Luis	MA	3 - Até R$ 500.000	Autônomo
Acidente	16/03/2018	março	quarta-feira	Tarde	Campina Grande do Sul	PR	Específicas	Blumenau	SC	Duque de Caxias	RJ	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	16/03/2018	março	quarta-feira	Madrugada	Guarulhos	SP	Autopeças	Caixas do Sul	RS	Bom Jesus do Norte	ES	2 - Até R$ 300.000	Autônomo
Roubo/Furto	19/03/2018	março	quinta-feira	Madrugada	São Simão	SP	Alumínio	Pindamonhangaba	SP	Manaus	AM	3 - Até R$ 500.000	Autônomo
Roubo/Furto	19/03/2018	março	quinta-feira	Noite	Jaraguá	GO	Confecção/Tecido/Fios	Aparecida de Goiânia	GO	Palmas	TO	2 - Até R$ 300.000	Agregado
Acidente	20/03/2018	março	quinta-feira	Tarde	Vacaria	RS	Autopeças	Caixas do Sul	RS	Resende	RJ	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	21/03/2018	março	quinta-feira	Madrugada	Santa Bárbara d' Oeste	SP	Combustível	Américo Brasiliense	SP	Mauá	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	21/03/2018	março	quinta-feira	Madrugada	São José dos Pinhais	PR	Pescado	Valparaíso de Goiás	GO	Itajaí	SC	2 - Até R$ 300.000	Agregado
Roubo/Furto	21/03/2018	março	quinta-feira	Tarde	Oliveira	MG	Eletrônicos	Cajamar	SP	Contagem	MG	2 - Até R$ 300.000	S/Comprovação
Outros	21/03/2018	março	quinta-feira	Madrugada	Palmas	TO	Medicamento	Catalão	GO	Palmas	TO	2 - Até R$ 300.000	S/Comprovação
Acidente	22/03/2018	março	quinta-feira	Tarde	Montes Claros	MG	Laticínios	Araras	SP	Feira de Santana	BA	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	22/03/2018	março	quinta-feira	Noite	São Simão	SP	Combustível	São Paulo	SP	Ribeirão Preto	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	22/03/2018	março	quinta-feira	Manhã	Diadema	SP	Polímeros	Guarujá	SP	Diadema	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	23/03/2018	março	quinta-feira	Madrugada	Francisco Sá	MG	Específicas	Guarulhos	SP	Conde	PB	3 - Até R$ 500.000	Autônomo
Acidente	25/03/2018	março	sexta-feira	Noite	Careaçu	MG	Hig/Limp/Cosm	Pouso Alegre	MG	Caratinga	MG	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	26/03/2018	março	sexta-feira	Manhã	Curitiba	PR	Combustível	Paranaguá	PR	Araucária	PR	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	26/03/2018	março	sexta-feira	Madrugada	Itapecerica da Serra	SP	Alimentício	Navagantes	SC	Diversos	MG	3 - Até R$ 500.000	Autônomo
Acidente	26/03/2018	março	sexta-feira	Tarde	Bituruna	PR	Aves	Santo Antônio do Paraíso	PR	Faxinal dos Guedes	SC	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	26/03/2018	março	sexta-feira	Tarde	Pirajuba	MG	Eletrônicos	Guarulhos	SP	Ipameri	GO	4 - Até R$ 1.000.000	Agregado
Roubo/Furto	26/03/2018	março	sexta-feira	Noite	Rio de Janeiro	RJ	Hig/Limp/Cosm	Pouso Alegre	MG	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Funcionário
Fraude	26/03/2018	março	sexta-feira	Noite	Carmópolis de Minas	MG	Geral	Orlens	SC	Eusébio	CE	3 - Até R$ 500.000	Funcionário
Fraude	26/03/2018	março	sexta-feira	Noite	Oliveira	MG	Geral	Orlens	SC	Juzeiro do Norte	CE	3 - Até R$ 500.000	Funcionário
Fraude	26/03/2018	março	sexta-feira	Noite	Carmópolis de Minas	MG	Geral	Orlens	SC	Juzeiro do Norte	CE	3 - Até R$ 500.000	Funcionário
Roubo/Furto	26/03/2018	março	sexta-feira	Noite	Jaguara	SP	Específicas	Osasco	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	27/03/2018	março	sexta-feira	Madrugada	Atibaia	SP	Polímeros	Marechal Deodoro	AL	Guarulhos	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	27/03/2018	março	sexta-feira	Madrugada	Campina Grande do Sul	PR	Aço/Ferro	Timóteo	MG	Jaraguá do Sul	SC	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	27/03/2018	março	sexta-feira	Tarde	Água Preta	PE	Alumínio	Pindamonhangaba	SP	Cabo de Santo Agostinho	PE	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	28/03/2018	março	sexta-feira	Noite	Bayeux	PB	Hig/Limp/Cosm	Ipojuca	PE	Mossoró	RN	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	28/03/2018	março	sexta-feira	Madrugada	Tangua	RJ	Específicas	Itaperuna	RJ	Rio de Janeiro	RJ	2 - Até R$ 300.000	Funcionário
Roubo/Furto	28/03/2018	março	sexta-feira	Sem Inf	São Carlos	SP	Implementos Agrícola	São Carlos	SP	Feira de Santana	BA	2 - Até R$ 300.000	Autônomo
Fraude	28/03/2018	março	sexta-feira	Madrugada	Oliveira	MG	Geral	Orlens	SC	Salvador	BA	3 - Até R$ 500.000	Funcionário
Fraude	28/03/2018	março	sexta-feira	Madrugada	Oliveira	MG	Geral	Orlens	SC	Salvador	BA	3 - Até R$ 500.000	Funcionário
Roubo/Furto	29/03/2018	março	sexta-feira	Noite	Juquitiba	SP	Laticínios	Aceguá	RS	Itapevi	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	31/03/2018	março	sexta-feira	Tarde	Jacareí	SP	Bebidas	Rio Claro	SP	Jacarei	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	01/04/2018	abril	segunda-feira	Noite	Perdizes	MG	Celulares	Taubaté	SP	Araxa	MG	4 - Até R$ 1.000.000	Agregado
Acidente	01/04/2018	abril	segunda-feira	Manhã	João Pinheiro	MG	Alimentício	Antonina	PR	Fortaleza	CE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Fraude	01/04/2018	abril	segunda-feira	Tarde	Campina Grande do Sul	PR	Geral	Orlens	SC	Arujá	SP	3 - Até R$ 500.000	Funcionário
Fraude	01/04/2018	abril	segunda-feira	Tarde	Jacupiranga	SP	Geral	Orlens	SC	São Paulo	SP	3 - Até R$ 500.000	Funcionário
Fraude	01/04/2018	abril	segunda-feira	Noite	Cajati	SP	Geral	Orlens	SC	Santa Inês	MA	3 - Até R$ 500.000	Funcionário
Fraude	01/04/2018	abril	segunda-feira	Noite	Cajati	SP	Geral	Orlens	SC	Belém	PA	3 - Até R$ 500.000	Funcionário
Fraude	01/04/2018	abril	segunda-feira	Noite	Antonina	PR	Geral	Orlens	SC	São Luis	MA	3 - Até R$ 500.000	Funcionário
Roubo/Furto	02/04/2018	abril	segunda-feira	Tarde	Rio de Janeiro	RJ	Alimentício	Pouso Alegre	MG	Rio de Janeiro	RJ	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	02/04/2018	abril	segunda-feira	Noite	João Pessoa	PB	Hig/Limp/Cosm	Ipojuca	PE	João Pessoa	PB	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	03/04/2018	abril	segunda-feira	Tarde	Rio Claro	SP	Químico	Matão	SP	Cubatão	SP	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	03/04/2018	abril	segunda-feira	Manhã	São Carlos	SP	Laticínios	Terra Nova do Norte	MT	São Carlos	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	04/04/2018	abril	segunda-feira	Noite	Rio de Janeiro	RJ	Confecção/Tecido/Fios	Duque de Caxias	RJ	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	05/04/2018	abril	segunda-feira	Manhã	Cajamar	SP	Eletrônicos	Santos	SP	Cajamar	SP	5 - Acima de R$ 1.000.000	Funcionário
Roubo/Furto	05/04/2018	abril	segunda-feira	Madrugada	Pouso Alegre	MG	Combustível	Santos	SP	Betim	MG	2 - Até R$ 300.000	Funcionário
Roubo/Furto	05/04/2018	abril	segunda-feira	Madrugada	Tanguá	RJ	Específicas	Guarulhos	SP	Viana	ES	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	05/04/2018	abril	segunda-feira	Manhã	Jaboatão dos Guararapes	PE	Alimentício	Jaboatão dos Guararapes	PE	Jaboatão dos Guararapes	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	05/04/2018	abril	segunda-feira	Noite	Atibaia	SP	Alumínio	São Bernardo do Campo	SP	Lagoa Grande	MG	2 - Até R$ 300.000	Autônomo
Roubo/Furto	05/04/2018	abril	segunda-feira	Manhã	Mogi Guaçu	SP	Doces/Chocolate	Argentina	EX	Poços de Caldas	MG	5 - Acima de R$ 1.000.000	Funcionário
Roubo/Furto	05/04/2018	abril	segunda-feira	Noite	Uberaba	MG	Café	Patrocínio	MG	Araras	SP	2 - Até R$ 300.000	Agregado
Roubo/Furto	06/04/2018	abril	segunda-feira	Madrugada	Limeira	SP	Eletrônicos	Cajamar	SP	Ribeirão Preto	SP	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	06/04/2018	abril	segunda-feira	Noite	Ribeirão Pires	SP	Frigorífico	Janaúba	MG	Santos	SP	4 - Até R$ 1.000.000	Autônomo
Roubo/Furto	06/04/2018	abril	segunda-feira	Noite	São Paulo	SP	Papel	Limeira	SP	Cabo de Santo Agostinho	PE	1 - De R$ 100.000 a R$ 200.000	-
Roubo/Furto	07/04/2018	abril	segunda-feira	Madrugada	São Francisco de Paula	RS	Alimentício	Caixas do Sul	RS	Brasilia	DF	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	07/04/2018	abril	segunda-feira	Noite	Lavrinhas	SP	Hig/Limp/Cosm	Linhares	ES	Avaré	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	07/04/2018	abril	segunda-feira	Tarde	Guaruva	SC	Bebidas	Itapevi	SP	Porto Alegre	RS	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	07/04/2018	abril	segunda-feira	Manhã	São Paulo	SP	Alumínio	São Bernardo do Campo	SP	Nova Roma	GO	2 - Até R$ 300.000	Autônomo
Acidente	07/04/2018	abril	segunda-feira	Tarde	Rondon do Pará	PA	Frigorífico	Santa Izabel do Pará	PA	Altamira	PA	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	08/04/2018	abril	terça-feira	Noite	Macaíba	RN	Hig/Limp/Cosm	Ipojuca	PE	Caucaia	CE	3 - Até R$ 500.000	Agregado
Roubo/Furto	08/04/2018	abril	terça-feira	Noite	Gaspar	SC	Frigorífico	Guatambu	SC	Itajaí	SC	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	09/04/2018	abril	terça-feira	Manhã	Mauá	SP	Frigorífico	Guia Lopes da Laguna	MS	Santo André	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	09/04/2018	abril	terça-feira	Madrugada	Garuva	SC	Confecção/Tecido/Fios	Itapóa	SC	São José	SC	3 - Até R$ 500.000	S/Comprovação
Outros	09/04/2018	abril	terça-feira	Noite	Tijucas do Sul	PR	Geral	Joinville	SC	Curitiba	PR	2 - Até R$ 300.000	S/Comprovação
Outros	09/04/2018	abril	terça-feira	Sem Inf	Holanda	EX	Frigorífico	Janaúba	MG	Holanda	EX	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	10/04/2018	abril	terça-feira	Tarde	Belém de São Francisco	PE	Alimentício	Louveira	SP	Fortaleza	CE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	10/04/2018	abril	terça-feira	Madrugada	Campo Largo	PR	Confecção/Tecido/Fios	Itajaí	SC	São Paulo	SP	2 - Até R$ 300.000	Funcionário
Roubo/Furto	10/04/2018	abril	terça-feira	Noite	São José dos Campos	SP	Doces/Chocolate	Caçapava	SP	Cordeiropolis	SP	3 - Até R$ 500.000	Autônomo
Roubo/Furto	10/04/2018	abril	terça-feira	Tarde	Belém de São Francisco	PE	Hig/Limp/Cosm	Louveira	SP	Fortaleza	CE	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	11/04/2018	abril	terça-feira	Madrugada	Santa Bárbara d' Oeste	SP	Polímeros	Santo André	SP	Belém	PA	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	11/04/2018	abril	terça-feira	Noite	Campinas	SP	Ofalmologicos	Campinas	SP	Campinas	SP	4 - Até R$ 1.000.000	Funcionário
Acidente	11/04/2018	abril	terça-feira	Madrugada	Jundiaí	SP	Autopeças	Guarujá	SP	Piracicaba	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	12/04/2018	abril	terça-feira	Madrugada	Pariquera Açu	SP	Cobre	Joinville	SC	Sorocaba	SP	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	12/04/2018	abril	terça-feira	Madrugada	Piracanjuba	GO	Medicamento	Aparecida de Goiânia	GO	Catalão	GO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	12/04/2018	abril	terça-feira	Madrugada	Piracanjuba	GO	Medicamento	Aparecida de Goiânia	GO	Catalão	GO	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	13/04/2018	abril	terça-feira	Madrugada	Cordeirópolis	SP	Alimentício	Uberlândia	MG	Guarulhos	SP	2 - Até R$ 300.000	Autônomo
Outros	13/04/2018	abril	terça-feira	Sem Inf	Sumaré	SP	Eletrônicos	Jundiaí	SP	Recife	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	14/04/2018	abril	terça-feira	Tarde	Cachoeira do Pajeú	MG	Calçados	Louveira	SP	Diversos	PE	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	15/04/2018	abril	quarta-feira	Tarde	Jacareí	SP	Pneus	Jaboatão dos Guararapes	PE	Mauá	SP	3 - Até R$ 500.000	Funcionário
Roubo/Furto	16/04/2018	abril	quarta-feira	Sem Inf	Miracatu	SP	Alumínio	Pindamonhangaba	SP	Viamão	RS	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	16/04/2018	abril	quarta-feira	Noite	Atibaia	SP	Laticínios	Novo Oriente de Minas	MG	Nonoai	RS	2 - Até R$ 300.000	Autônomo
Roubo/Furto	17/04/2018	abril	quarta-feira	Madrugada	Socorro	SP	Confecção/Tecido/Fios	Águas de Lindóia	SP	Barueri	SP	1 - De R$ 100.000 a R$ 200.000	Funcionário
Acidente	18/04/2018	abril	quarta-feira	Sem Inf	Recife	PE	Bebidas	Pindoretama	CE	Paulista	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	18/04/2018	abril	quarta-feira	Tarde	Varginha	MG	Café	Varginha	MG	Itamogi	MG	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	18/04/2018	abril	quarta-feira	Madrugada	São José dos Pinhais	PR	Medicamento	Itajaí	SC	Curitiba	PR	2 - Até R$ 300.000	Agregado
Roubo/Furto	18/04/2018	abril	quarta-feira	Tarde	Campinas	SP	Específicas	Campinas	SP	Itupeva	SP	3 - Até R$ 500.000	Funcionário
Roubo/Furto	18/04/2018	abril	quarta-feira	Madrugada	Caieiras	SP	Autopeças	Diversos	SP	Diversos	PR	4 - Até R$ 1.000.000	Agregado
Acidente	19/04/2018	abril	quarta-feira	Manhã	Teófilo Otoni	MG	Específicas	Guarulhos	SP	Aracaju	SE	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	19/04/2018	abril	quarta-feira	Tarde	São Paulo	SP	Confecção/Tecido/Fios	Santos	SP	Taubaté	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	19/04/2018	abril	quarta-feira	Sem Inf	Barcarena	PA	Alumínio	Barbacena	MG	Santo Rosa do Tocantins	TO	3 - Até R$ 500.000	Autônomo
Roubo/Furto	19/04/2018	abril	quarta-feira	Sem Inf	Araranguá	SC	Polímeros	Duque de Caxias	RJ	Montenegro	RS	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	20/04/2018	abril	quarta-feira	Noite	Perus	SP	Frigorífico	São Paulo	SP	Santos	SP	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	23/04/2018	abril	quinta-feira	Noite	Vinhedo	SP	Hig/Limp/Cosm	Vinhedo	SP	Louveira	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	24/04/2018	abril	quinta-feira	Manhã	Saloá	PE	Frigorífico	Itaboraí	RJ	Surubim	PE	2 - Até R$ 300.000	Funcionário
Roubo/Furto	24/04/2018	abril	quinta-feira	Noite	Moreno	PE	Alimentício	Glória do Goitá	PE	Jaboatão dos Guararapes	PE	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	24/04/2018	abril	quinta-feira	Noite	Vinhedo	SP	Hig/Limp/Cosm	Vinhedo	SP	Louveira	SP	3 - Até R$ 500.000	S/Comprovação
Acidente	24/04/2018	abril	quinta-feira	Noite	Mairiporã	SP	Específicas	Sorocaba	SP	Salvador	BA	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	25/04/2018	abril	quinta-feira	Madrugada	Araminas	SP	Específicas	Guarulhos	SP	Diversos	MA	4 - Até R$ 1.000.000	Autônomo
Roubo/Furto	25/04/2018	abril	quinta-feira	Noite	Santa Cruz de Salinas	MG	Hig/Limp/Cosm	Louveira	SP	Jaboatão dos Guararapes	PE	4 - Até R$ 1.000.000	S/Comprovação
Acidente	25/04/2018	abril	quinta-feira	Madrugada	Rio Largo	AL	Específicas	Moji Mirim	SP	Goiania	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	26/04/2018	abril	quinta-feira	Madrugada	Rio de Janeiro	RJ	Confecção/Tecido/Fios	Duque de Caxias	RJ	Diversos	RJ	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	26/04/2018	abril	quinta-feira	Madrugada	Xexéu	PE	Hig/Limp/Cosm	Ipojuca	PE	Salvador	BA	1 - De R$ 100.000 a R$ 200.000	Agregado
Outros	26/04/2018	abril	quinta-feira	Sem Inf	Chile	EX	Frigorífico	Paraguai	EX	Chile	EX	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	27/04/2018	abril	quinta-feira	Manhã	Atibaia	SP	Celulares	Taubaté	SP	Araçariguama	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	27/04/2018	abril	quinta-feira	Manhã	Rio de Janeiro	RJ	Específicas	São João de Meriti	RJ	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	28/04/2018	abril	quinta-feira	Manhã	Ribeirão Preto	SP	Frigorífico	São Bernardo do Campo	SP	São José do Rio Preto	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	29/04/2018	abril	sexta-feira	Noite	Rafael Jambeiro	BA	Específicas	Santos	SP	Salvador	BA	2 - Até R$ 300.000	Autônomo
Roubo/Furto	01/05/2018	maio	segunda-feira	Noite	Barra do Turvo	SP	Específicas	Joinville	SC	Guarulhos	SP	3 - Até R$ 500.000	Agregado
Outros	01/05/2018	maio	segunda-feira	Manhã	Demerval Lobão	PI	Alumínio	Pindamonhangaba	SP	Teresina	PI	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	05/05/2018	maio	segunda-feira	Tarde	São José dos Campos	SP	Veículo	Araucária	PR	Cariacica	ES	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	06/05/2018	maio	terça-feira	Noite	Carolina	MA	Laticínios	Bela Vista de Goias	GO	São Luiz	MA	1 - De R$ 100.000 a R$ 200.000	Autônomo
